repo_full_name,owner,owner_type,repo_name,file_path,file_url,matched_query
plasma-umass/coz,plasma-umass,Organization,coz,coz,https://github.com/plasma-umass/coz/blob/10630c542bc6d8a24595fd8283bea33bef892016/coz,"""json.loads"" ""openai"" language:Python"
reorx/awesome-chatgpt-api,reorx,User,awesome-chatgpt-api,ai.py,https://github.com/reorx/awesome-chatgpt-api/blob/11ebae2f71af13571d2fa0953af0b2f99240075a/ai.py,"""json.loads"" ""openai"" language:Python"
Afool4U/MIGPT,Afool4U,User,MIGPT,V3.py,https://github.com/Afool4U/MIGPT/blob/5abf0f3b18875f010a656fc00982c5abc1b8a482/V3.py,"""json.loads"" ""openai"" language:Python"
gorse-io/gitrec,gorse-io,Organization,gitrec,x.py,https://github.com/gorse-io/gitrec/blob/e93706f3869edbcbdb630ae4c279c7ccf9823b72/x.py,"""json.loads"" ""openai"" language:Python"
zzlang-c/DiagGPT,zzlang-c,User,DiagGPT,exp.py,https://github.com/zzlang-c/DiagGPT/blob/42b4e72a256f55649b5a3b5923d72b06ef7d1394/exp.py,"""json.loads"" ""openai"" language:Python"
brdoney/disdoc,brdoney,User,disdoc,llm.py,https://github.com/brdoney/disdoc/blob/fc1465534edc5f2a230090db72d3bace425eb298/llm.py,"""JSONDecodeError"" ""openai"" language:Python"
plasma-umass/coz,plasma-umass,Organization,coz,coz,https://github.com/plasma-umass/coz/blob/10630c542bc6d8a24595fd8283bea33bef892016/coz,"""JSONDecodeError"" ""openai"" language:Python"
Afool4U/MIGPT,Afool4U,User,MIGPT,V3.py,https://github.com/Afool4U/MIGPT/blob/5abf0f3b18875f010a656fc00982c5abc1b8a482/V3.py,"""JSONDecodeError"" ""openai"" language:Python"
shibing624/open-o1,shibing624,User,open-o1,o1.py,https://github.com/shibing624/open-o1/blob/3e38c286705369f2f45b0d79f9179fd2c74bf971/o1.py,"""JSONDecodeError"" ""openai"" language:Python"
farzaa/stupid-emails,farzaa,User,stupid-emails,tag.py,https://github.com/farzaa/stupid-emails/blob/e2f15ce41db2b6b49a206c1a411df43397e51f17/tag.py,"""JSONDecodeError"" ""openai"" language:Python"
build-with-groq/g1,build-with-groq,Organization,g1,g1.py,https://github.com/build-with-groq/g1/blob/854e6944e067ee46f71e138100b9779ae3448ace/g1.py,"""json.loads"" ""chat.completions"" language:Python"
MewCo-AI/ai_virtual_mate_comm,MewCo-AI,Organization,ai_virtual_mate_comm,llm.py,https://github.com/MewCo-AI/ai_virtual_mate_comm/blob/459d00bf6c9170d89a087f2db8c3b2140f192696/llm.py,"""json.loads"" ""chat.completions"" language:Python"
tszdanger/CTFKnow,tszdanger,User,CTFKnow,run.py,https://github.com/tszdanger/CTFKnow/blob/26ab03c4de8652110cde3d03641151f42698d301/run.py,"""json.loads"" ""chat.completions"" language:Python"
shibing624/open-o1,shibing624,User,open-o1,o1.py,https://github.com/shibing624/open-o1/blob/3e38c286705369f2f45b0d79f9179fd2c74bf971/o1.py,"""json.loads"" ""chat.completions"" language:Python"
maschhoff/pdfscanexplorer,maschhoff,User,pdfscanexplorer,ai.py,https://github.com/maschhoff/pdfscanexplorer/blob/b47317cfdc98dc1627851175f8f46a15b17b56a7/ai.py,"""json.loads"" ""chat.completions"" language:Python"
cursor/eval,cursor,Organization,eval,run.py,https://github.com/cursor/eval/blob/20f1ae654a1a75d7c55f324f8b5b6a7f88b34953/run.py,"""retry"" ""json.loads"" ""openai"" language:Python"
reglab/legal_hallucinations,reglab,Organization,legal_hallucinations,api.py,https://github.com/reglab/legal_hallucinations/blob/620734a1ccb84efc6827635ac76a2fb6504b2f64/api.py,"""retry"" ""json.loads"" ""openai"" language:Python"
evenboos/mcp-playground-local_clai,evenboos,User,mcp-playground-local_clai,app.py,https://github.com/evenboos/mcp-playground-local_clai/blob/738351321a76ca86f111b6329abf91d6e75fef15/app.py,"""retry"" ""json.loads"" ""openai"" language:Python"
Blazek1nn/multi-agent-core,Blazek1nn,User,multi-agent-core,cli.py,https://github.com/Blazek1nn/multi-agent-core/blob/379513904b7f27bf761ff52240c094305f853d44/cli.py,"""retry"" ""json.loads"" ""openai"" language:Python"
justLV/onju-voice,justLV,User,onju-voice,server/llm.py,https://github.com/justLV/onju-voice/blob/0dbcb106c50622e02702c9425672523b1bc6aa4e/server/llm.py,"""retry"" ""json.loads"" ""openai"" language:Python"
plasma-umass/coz,plasma-umass,Organization,coz,coz,https://github.com/plasma-umass/coz/blob/10630c542bc6d8a24595fd8283bea33bef892016/coz,"""re.search"" ""openai"" ""json"" language:Python"
Dicklesworthstone/llm_aided_ocr,Dicklesworthstone,User,llm_aided_ocr,llm_aided_ocr.py,https://github.com/Dicklesworthstone/llm_aided_ocr/blob/9d5d28d4b418b16af607c3ffb2c3891a73231ada/llm_aided_ocr.py,"""re.search"" ""openai"" ""json"" language:Python"
themanyone/whisper_dictation,themanyone,User,whisper_dictation,wd,https://github.com/themanyone/whisper_dictation/blob/c9d92f7fb41bfce3e68c015d088a4b5140e4336d/wd,"""re.search"" ""openai"" ""json"" language:Python"
reorx/ai.py,reorx,User,ai.py,ai.py,https://github.com/reorx/ai.py/blob/d7f819f7acb7039e096e43165b1ed2e65b3774a4/ai.py,"""re.search"" ""openai"" ""json"" language:Python"
cursor/eval,cursor,Organization,eval,run.py,https://github.com/cursor/eval/blob/20f1ae654a1a75d7c55f324f8b5b6a7f88b34953/run.py,"""re.search"" ""openai"" ""json"" language:Python"
build-with-groq/g1,build-with-groq,Organization,g1,g1.py,https://github.com/build-with-groq/g1/blob/854e6944e067ee46f71e138100b9779ae3448ace/g1.py,"""response_format"" ""json.loads"" language:Python"
metauto-ai/HGM,metauto-ai,Organization,HGM,llm.py,https://github.com/metauto-ai/HGM/blob/013872d95da978483f5b540e531db063d23890da/llm.py,"""response_format"" ""json.loads"" language:Python"
tamikip/AI-GAL,tamikip,User,AI-GAL,GPT.py,https://github.com/tamikip/AI-GAL/blob/8700d433112f4c32084474bec9ff55043d4e0c7b/GPT.py,"""response_format"" ""json.loads"" language:Python"
shibing624/open-o1,shibing624,User,open-o1,o1.py,https://github.com/shibing624/open-o1/blob/3e38c286705369f2f45b0d79f9179fd2c74bf971/o1.py,"""response_format"" ""json.loads"" language:Python"
bigsk1/voice-chat-ai,bigsk1,User,voice-chat-ai,cli.py,https://github.com/bigsk1/voice-chat-ai/blob/6fc785a74e9db4391bbd1bbc95304e0623a4628b/cli.py,"""response_format"" ""json.loads"" language:Python"
danneu/telegram-chatgpt-bot,danneu,User,telegram-chatgpt-bot,openai.ts,https://github.com/danneu/telegram-chatgpt-bot/blob/1cb33eab190f00089b4513042f605865ce769ffe/openai.ts,"""JSON.parse"" ""openai"" language:TypeScript"
hrishioa/lumentis,hrishioa,User,lumentis,src/ai.ts,https://github.com/hrishioa/lumentis/blob/15e8855eefed5e749ecd32d2521b8bab0fa01dda/src/ai.ts,"""JSON.parse"" ""openai"" language:TypeScript"
webpilot-ai/Webpilot,webpilot-ai,Organization,Webpilot,src/io.ts,https://github.com/webpilot-ai/Webpilot/blob/867cb5bfa216826a401999e292c4ceb218db546e/src/io.ts,"""JSON.parse"" ""openai"" language:TypeScript"
jensroth-git/UnifiedAI,jensroth-git,User,UnifiedAI,openAI.ts,https://github.com/jensroth-git/UnifiedAI/blob/a3a361a589ec901586251a2640f62ba2e0942edc/openAI.ts,"""JSON.parse"" ""openai"" language:TypeScript"
context-labs/uwu,context-labs,Organization,uwu,index.ts,https://github.com/context-labs/uwu/blob/fe1171ba7a8d8ec0b7964d294674847451fcd3f9/index.ts,"""JSON.parse"" ""openai"" language:TypeScript"
