repo_full_name,owner,owner_type,repo_name,file_path,file_url,matched_query,snippet_text,match_keyword,snippet_start_line,snippet_end_line,is_baml_relevant,pain_score,confidence,pain_type,use_case,evidence,why_baml_may_help,rejected_by_guard
shibing624/open-o1,shibing624,User,open-o1,o1.py,https://github.com/shibing624/open-o1/blob/3e38c286705369f2f45b0d79f9179fd2c74bf971/o1.py,"""JSONDecodeError"" ""openai"" language:Python","    :param max_tokens:
    :param is_final_answer:
    :return:
    """"""
    try:
        response = client.chat.completions.create(
            model=MODEL_NAME,
            messages=messages,
            max_tokens=max_tokens,
            temperature=1.0,
            response_format={""type"": ""json_object""}
        )
        r = response.choices[0].message.content

        try:
            return json.loads(r)
        except json.JSONDecodeError:
            # If parsing fails, return the content as is
            return {
                ""title"": ""Raw Response"",
                ""content"": r,
                ""next_action"": ""final_answer"" if is_final_answer else ""continue""
            }
    except Exception as e:
        error_message = f""Failed to generate {'final answer' if is_final_answer else 'step'}. Error: {str(e)}""
        return {""title"": ""Error"", ""content"": error_message, ""next_action"": ""final_answer""}


def cot_response_stream(prompt):
    """"""
    Generate reasoning steps for a given prompt using the CoT method. stream mode.
    messages:
    ```json
    {
        ""messages"": [
            {
                ""role"": ""system"",
                ""content"": ""你是一个专家级的人工智能助手，逐步解释你的推理过程。每一步都提供一个标题，描述你在该步骤中所做的事情，并附上内容。
                决定是否需要另一步，或者是否准备好给出最终答案。以JSON格式回应，包含'title'、'content'和'next_action'（'continue'或'final_answer'）键。
                尽可能使用多个推理步骤，至少3个。注意你作为大型语言模型的局限性，以及你能做和不能做的事情。在推理中，探索替代答案。
                考虑到你可能是错误的，如果你的推理有误，指出错误的地方。全面测试所有其他可能性。你可能会错。当你说你在重新审视时，",json.loads,24,64,True,4,0.95,retry_logic,chatbot,"The code snippet includes a call to `client.chat.completions.create` with messages, indicating interaction with a language model. The pain is evident in the nested try/except block around `json.loads(r)`, which handles JSON parsing errors by returning raw content and suggesting next actions. This pattern of retrying or validating LLM responses manually is common and can be simplified with BAML.","BAML would automate the handling of structured outputs from language models, removing the need for manual parsing, error handling, and validation logic. It could streamline the process by intelligently managing retries, cleaning up text, and validating responses based on predefined schemas.",False
build-with-groq/g1,build-with-groq,Organization,g1,g1.py,https://github.com/build-with-groq/g1/blob/854e6944e067ee46f71e138100b9779ae3448ace/g1.py,"""json.loads"" ""chat.completions"" language:Python","                response = client.chat.completions.create(
                    model=""llama-3.3-70b-versatile"",
                    messages=messages,
                    max_tokens=max_tokens,
                    temperature=0.2,
            ) 
                return response.choices[0].message.content
            else:
                response = client.chat.completions.create(
                    model=""llama-3.3-70b-versatile"",
                    messages=messages,
                    max_tokens=max_tokens,
                    temperature=0.2,
                    response_format={""type"": ""json_object""}
                )
                return json.loads(response.choices[0].message.content)
        except Exception as e:
            if attempt == 2:
                if is_final_answer:
                    return {""title"": ""Error"", ""content"": f""Failed to generate final answer after 3 attempts. Error: {str(e)}""}
                else:
                    return {""title"": ""Error"", ""content"": f""Failed to generate step after 3 attempts. Error: {str(e)}"", ""next_action"": ""final_answer""}
            time.sleep(1)  # Wait for 1 second before retrying

def generate_response(prompt, custom_client=None):
    messages = [
        {""role"": ""system"", ""content"": """"""You are an expert AI assistant that explains your reasoning step by step. For each step, provide a title that describes what you're doing in that step, along with the content. Decide if you need another step or if you're ready to give the final answer. Respond in JSON format with 'title', 'content', and 'next_action' (either 'continue' or 'final_answer') keys. USE AS MANY REASONING STEPS AS POSSIBLE. AT LEAST 3. BE AWARE OF YOUR LIMITATIONS AS AN LLM AND WHAT YOU CAN AND CANNOT DO. IN YOUR REASONING, INCLUDE EXPLORATION OF ALTERNATIVE ANSWERS. CONSIDER YOU MAY BE WRONG, AND IF YOU ARE WRONG IN YOUR REASONING, WHERE IT WOULD BE. FULLY TEST ALL OTHER POSSIBILITIES. YOU CAN BE WRONG. WHEN YOU SAY YOU ARE RE-EXAMINING, ACTUALLY RE-EXAMINE, AND USE ANOTHER APPROACH TO DO SO. DO NOT JUST SAY YOU ARE RE-EXAMINING. USE AT LEAST 3 METHODS TO DERIVE THE ANSWER. USE BEST PRACTICES.

Example of a valid JSON response:
```json
{
    ""title"": ""Identifying Key Information"",
    ""content"": ""To begin solving this problem, we need to carefully examine the given information and identify the crucial elements that will guide our solution process. This involves..."",
    ""next_action"": ""continue""
}```
""""""},
        {""role"": ""user"", ""content"": prompt},
        {""role"": ""assistant"", ""content"": ""Thank you! I will now think step by step following my instructions, starting at the beginning after decomposing the problem.""}
    ]
    
    steps = []",json.loads,16,56,True,4,0.95,retry_logic,chatbot,"The code snippet includes an LLM call (`client.chat.completions.create`) and demonstrates a pattern of retry logic around parsing the response with `json.loads`. This indicates that the developer is dealing with unreliable structured output from the language model, as the response might not always be in the expected format. BAML would help by automating the validation and repair of the LLM output, reducing the need for manual intervention and retry loops.","BAML can automatically validate and repair the structured output from the language model, ensuring that the response is correctly parsed without the need for manual `json.loads`, try/except blocks, or regex cleanup. This would streamline the process and reduce the brittleness of the code.",False
MewCo-AI/ai_virtual_mate_comm,MewCo-AI,Organization,ai_virtual_mate_comm,llm.py,https://github.com/MewCo-AI/ai_virtual_mate_comm/blob/459d00bf6c9170d89a087f2db8c3b2140f192696/llm.py,"""json.loads"" ""chat.completions"" language:Python","        elif llm_menu.get() == ""讯飞星火Lite"":
            client = OpenAI(base_url=xf_url, api_key=xf_key)
            openai_history.append({""role"": ""user"", ""content"": msg})
            messages = [{""role"": ""system"", ""content"": prompt1}]
            messages.extend(openai_history)
            completion = client.chat.completions.create(model=xf_model, messages=messages)
            openai_history.append({""role"": ""assistant"", ""content"": completion.choices[0].message.content})
            return completion.choices[0].message.content
        elif llm_menu.get() == ""本地Transformers"":
            try:
                client = OpenAI(base_url=f""http://{local_llm_ip}:{tf_port}/v1"", api_key=""transformers"")
                openai_history.append({""role"": ""user"", ""content"": msg})
                messages = [{""role"": ""system"", ""content"": prompt1}]
                messages.extend(openai_history)
                completion = client.chat.completions.create(model=tf_model, messages=messages, stream=False)
                chunks = re.findall(r'^data:\s*(.+)$', completion, flags=re.MULTILINE)
                result_content = []
                for chunk in chunks:
                    try:
                        data = json.loads(chunk)
                        content = data.get(""choices"", [{}])[0].get(""delta"", {}).get(""content"")
                        if content is not None:
                            result_content.append(content)
                    except json.JSONDecodeError:
                        continue
                result_content = """".join(result_content).replace(""\n"", """")
                openai_history.append({""role"": ""assistant"", ""content"": result_content})
                res = result_content
                if think_filter_switch == ""on"":
                    res = res.split(""</think>"")[-1].strip()
                return res
            except Exception as e:
                return f""本地Transformers服务未开启，错误详情：{e}""
        elif llm_menu.get() == ""本地LM Studio"":
            try:
                client = OpenAI(base_url=f""http://{local_llm_ip}:{lmstudio_port}/v1"", api_key=""lm-studio"")
                openai_history.append({""role"": ""user"", ""content"": msg})
                messages = [{""role"": ""system"", ""content"": prompt1}]
                messages.extend(openai_history)
                completion = client.chat.completions.create(model="""", messages=messages)
                openai_history.append({""role"": ""assistant"", ""content"": completion.choices[0].message.content})",re.findall,123,163,True,4,0.95,retry_logic,chatbot,"client.chat.completions.create with messages= The code snippet shows a language model call using OpenAI's chat completions API. It includes complex parsing logic, such as regex cleanup and try/except blocks around json.loads, which indicates pain in handling the structured output from the LLM. BAML would remove this need for retry loops and validation by providing a more robust and reliable way to handle the structured output.","BAML can automatically parse and validate the structured output from language models, eliminating the need for manual parsing, try/except blocks, and regex cleanup. It ensures that the output is correctly formatted and ready for use without additional code.",False
tszdanger/CTFKnow,tszdanger,User,CTFKnow,run.py,https://github.com/tszdanger/CTFKnow/blob/26ab03c4de8652110cde3d03641151f42698d301/run.py,"""json.loads"" ""chat.completions"" language:Python","
types = ['web', 'pwn', 'reverse', 'crypto', 'forensics', 'misc']

class BashExperience:
    """"""Extracting Bash Experience From NYU CTF Log files""""""

    # May be not necessary
    pass

class Buildinit:
    """"""Build an initial file list of the bench""""""
    def __init__(self, list_file_name ,write_up_path = 'dataset/raw', data_file_name = 'dataset/data.json'):
        self.write_up_path = write_up_path
        self.data_file_name = data_file_name
        self.list_file_name = list_file_name
        self.alldata = json.loads(open(data_file_name, 'r').read())
        self.result = []

        self.year = {}
        self.types = ['misc', 'crypto', 'web', 'reverse', 'forensics', 'pwn']
    
    def build(self):
        # read all files in write_up_path, build key ""name"" using the filenames
        print(""Start Building..."")
        for file in tqdm(os.listdir(self.write_up_path)):

            # read the write up file and judge the type.
            write_up = ''
            challange_type = ''
            path = os.path.join(self.write_up_path, file)
            with open(path, 'r', encoding=""utf-8"") as writeup_file:
                write_up = writeup_file.read()
            for type in types:
                if type in write_up.lower():
                    challange_type = type
            
            # if challange type is '', use LLM to determin
            if challange_type == '':
                try:
                    response = client.chat.completions.create(
                        messages=[",json.loads,41,81,True,4,1.0,retry_logic,extraction,"The snippet shows a call to 'client.chat.completions.create' with messages=, indicating an interaction with a language model. The code includes a try/except block around the parsing of the LLM response using json.loads, which is a common pain point when dealing with unreliable structured output from language models. This retry logic and exception handling suggest that the developer is already aware of the potential unreliability of the LLM's responses and is attempting to handle it manually.","BAML would help by automating the process of retrying failed requests, validating the structure of the response, and cleaning up any necessary data. This would reduce the amount of manual code needed for handling unreliable structured output from language models.",False
maschhoff/pdfscanexplorer,maschhoff,User,pdfscanexplorer,ai.py,https://github.com/maschhoff/pdfscanexplorer/blob/b47317cfdc98dc1627851175f8f46a15b17b56a7/ai.py,"""json.loads"" ""chat.completions"" language:Python","        ""BEGIN PDF TEXT\n"" + pdf_text + ""\nEND PDF TEXT""
    )

    # Verwende chat.completions (kein file)
    response = client.chat.completions.create(
        model=""gpt-5"",
        messages=[
            {""role"": ""system"", ""content"": system_prompt},
            {""role"": ""user"", ""content"": user_text}
        ],
    )

    raw = response.choices[0].message.content.strip()
    # Versuche JSON zu parsen
    try:
        parsed = json.loads(raw)
    except Exception:
        # Fallback: gib Raw zurück, damit du siehst, was das Modell ausgegeben hat
        return {""raw"": raw}
    return parsed

# Beispiel
# ordner = [""Rechnungen"", ""Versicherung"", ""Steuer"", ""Privat""]
# print(categorize_document_local_text(""rechnung.pdf"", ordner))",json.loads,40,63,True,4,0.95,retry_logic,chatbot,"The snippet includes a call to `client.chat.completions.create` with messages, indicating interaction with a language model (LLM). The code then attempts to parse the response using `json.loads`, which is wrapped in a try/except block. This pattern indicates that there are issues with the reliability of the structured output from the LLM, as it may fail to parse correctly and requires fallback logic. BAML would help by automating the retry logic and validation around parsing LLM responses, thus removing this pain.","BAML can automate the process of retrying failed parses, validating the structure of the output, and cleaning up any necessary data. This would eliminate the need for manual try/except blocks and regex cleanup, making the code more robust and maintainable.",False
cursor/eval,cursor,Organization,eval,run.py,https://github.com/cursor/eval/blob/20f1ae654a1a75d7c55f324f8b5b6a7f88b34953/run.py,"""retry"" ""json.loads"" ""openai"" language:Python","    azure_prompt,
    claude_prompt
)
from claude import claude_complete

load_dotenv()

HEADERS = {
    ""Authorization"": f""Bearer {os.environ['OPENAI_API_KEY']}"",
    ""Content-Type"": ""application/json"",
}

HUMAN_EVAL = os.environ['PWD'] + '/data/HumanEval.jsonl'
OUT_FILE = os.environ['PWD'] + '/results/results-{}-{}.jsonl'

async def retry(sem, fn):
    for i in range(1, 3):
        try:
            async with sem:
                return await fn()
        except Exception as e:
            print(e)
            print('retrying')
            time.sleep(0.3*i)

    return await fn()

async def get_completion(sem, prompt, num_tries=1, model='code-davinci-002', num_errors=0):
    #print(num_tries)
    if num_tries == 1:
        temperature = 0.0
    elif num_tries == 10:
        temperature = 0.6
    elif num_tries == 100:
        temperature = 0.8
    else:
        raise ValueError(""num_tries must be 1, 10, or 100"")


    if model in {'gpt-3.5-turbo', 'gpt-4'}:
        completion = await retry(sem, lambda: openai.ChatCompletion.acreate(messages=prompt, model=model, temperature=temperature, max_tokens=1000, n=num_tries))",retry,22,62,True,5,1.0,retry_logic,chatbot,"The snippet includes an explicit call to the OpenAI API using `openai.ChatCompletion.acreate(messages=prompt, model=model, temperature=temperature, max_tokens=1000, n=num_tries)`. The code demonstrates a clear pattern of retry logic around this LLM call. Specifically, it attempts to handle exceptions and retries up to 3 times with increasing sleep intervals. This type of brittleness is common when dealing with unreliable structured outputs from language models, as the model's response might occasionally be malformed or incomplete.","BAML would help by automating the retry logic, exception handling, and validation of the LLM output. It could also provide more sophisticated error detection and recovery mechanisms, reducing the need for manual intervention and improving the reliability of the structured data generated by the language model.",False
evenboos/mcp-playground-local_clai,evenboos,User,mcp-playground-local_clai,app.py,https://github.com/evenboos/mcp-playground-local_clai/blob/738351321a76ca86f111b6329abf91d6e75fef15/app.py,"""retry"" ""json.loads"" ""openai"" language:Python","            dict(content=""user-message-content"")
        })

    chatbot_value.append({
        ""role"": ""assistant"",
        ""loading"": True,
        ""content"": [],
        ""header"": model.split(""/"")[1],
        ""avatar"": bot_avatars.get(model, None),
        ""status"": ""pending""
    })
    yield gr.update(
        loading=True, value=None), gr.update(disabled=True), gr.update(
            value=chatbot_value,
            bot_config=bot_config(
                disabled_actions=['edit', 'retry', 'delete']),
            user_config=user_config(disabled_actions=['edit', 'delete']))
    try:
        prev_chunk_type = None
        tool_name = """"
        tool_args = """"
        tool_content = """"
        async for chunk in generate_with_mcp(
                format_messages(chatbot_value[:-1]),
                mcp_config=merge_mcp_config(json.loads(mcp_config_value),
                                            internal_mcp_config),
                enabled_mcp_servers=enabled_mcp_servers,
                sys_prompt=sys_prompt,
                get_llm=lambda: init_chat_model(
                    model=llm_model_name if use_local_model else model,
                    model_provider=""openai"",
                    api_key=llm_api_key if use_local_model else api_key,
                    base_url=llm_base_url if use_local_model else ""https://api-inference.modelscope.cn/v1/"")):
            chatbot_value[-1][""loading""] = False
            current_content = chatbot_value[-1][""content""]

            if prev_chunk_type != chunk[""type""] and not (
                    prev_chunk_type == ""tool_call_chunks""
                    and chunk[""type""] == ""tool""):
                current_content.append({})
            prev_chunk_type = chunk[""type""]",retry,65,105,True,5,1.0,retry_logic,chatbot,"The code snippet contains a call to `init_chat_model` with parameters such as `model=llm_model_name if use_local_model else model`, indicating an interaction with an LLM. The pain is evident in the subsequent try/except block where `json.loads(mcp_config_value)` is used, which could fail due to malformed JSON input from the LLM. This requires retry logic and exception handling, which BAML would simplify by automatically handling retries and ensuring reliable structured output.","BAML can help by automating the retry mechanism and robustly parsing the JSON response from the LLM, thereby removing the need for manual try/except blocks and retry loops. This would make the code cleaner, more maintainable, and less prone to errors related to unreliable structured output.",False
justLV/onju-voice,justLV,User,onju-voice,server/llm.py,https://github.com/justLV/onju-voice/blob/0dbcb106c50622e02702c9425672523b1bc6aa4e/server/llm.py,"""retry"" ""json.loads"" ""openai"" language:Python","from datetime import datetime, timedelta
from dateutil import tz

import openai
from rich import print

import devices

openai.api_key = os.getenv(""OPENAI_API_KEY"")

class OpenAIFunctionCalling:
    def __init__(self, config):
        self.config = config
        self.functions = self.setup_functions()

    def call_gpt_retry(self, device, max_retries=4, include_functions=False):
        wait_time = 0.5
        for attempt in range(max_retries):
            try:
                if(include_functions):
                    response = openai.ChatCompletion.create(
                        model=self.config['llm']['gpt_model'],
                        messages=device.messages,
                        functions=self.functions,
                        max_tokens=300,
                    )
                else:
                    response = openai.ChatCompletion.create(
                        model=self.config['llm']['gpt_model'],
                        messages=device.messages,
                        max_tokens=150,
                    )
                return (True, response)
            except Exception as e:
                device.log.error(f""Attempt {attempt+1} of {max_retries} failed: {e}"")
                if attempt < max_retries - 1:
                    time.sleep(wait_time)
                    wait_time *= 2  # backoff
                else:
                    return (False, e)
",retry,6,46,True,5,1.0,retry_logic,chatbot,"The code snippet includes an explicit call to `openai.ChatCompletion.create` with messages, which is a clear indication of an interaction with a language model. The pain in this case is the presence of retry logic around the LLM response parsing, including try/except blocks and exponential backoff for retries. This brittleness is indicative of unreliable structured output from the LLM.","BAML would help by automating the process of retrying failed requests, handling exceptions gracefully, and ensuring that the structured output from the language model is correctly parsed without manual intervention.",False
metauto-ai/HGM,metauto-ai,Organization,HGM,llm.py,https://github.com/metauto-ai/HGM/blob/013872d95da978483f5b540e531db063d23890da/llm.py,"""response_format"" ""json.loads"" language:Python","        model=model,
        messages=[
            {""role"": ""system"", ""content"": system_message},
            *new_msg_history,
        ],
        n=1,
        stop=None,
        seed=0,
        response_format={
            ""type"": ""json_object"",
        },
    )
    content = response.choices[0].message.content
    import json

    content_json = json.loads(content)
    new_msg_history = new_msg_history + [{""role"": ""assistant"", ""content"": content}]

    return content_json, new_msg_history


def get_response_from_llm(
    msg,
    client,
    model,
    system_message,
    print_debug=False,
    msg_history=None,
    temperature=0.7,
):
    if msg_history is None:
        msg_history = []

    if model.startswith(""o""):
        new_msg_history = msg_history + [
            {""role"": ""user"", ""content"": system_message + msg}
        ]
        response = client.chat.completions.create(
            model=model,
            messages=new_msg_history,
            temperature=1,",json.loads,61,101,True,4,1.0,retry_logic,chatbot,"client.chat.completions.create with messages= The code snippet shows a call to an LLM using client.chat.completions.create. It then attempts to parse the response content using json.loads, which can fail if the model output is not well-formed JSON. This pain is evident in the need for retry logic and validation around parsing model output.","BAML would help by automatically handling retries and validating the structured output from the LLM, thus removing the need for manual try/except blocks, regex cleanup, and hand-written validation.",False
tamikip/AI-GAL,tamikip,User,AI-GAL,GPT.py,https://github.com/tamikip/AI-GAL/blob/8700d433112f4c32084474bec9ff55043d4e0c7b/GPT.py,"""response_format"" ""json.loads"" language:Python","        })

    messages.append({
        ""role"": ""user"",
        ""content"": prompt
    })

    payload = json.dumps({
        ""model"": model,
        ""temperature"": 0.8,
        **({""response_format"": response_format} if json_mode else {}),
        ""messages"": messages
    })

    response = requests.post(gpt_url, headers=headers, data=payload)
    parsed_data = json.loads(response.text)
    content = parsed_data['choices'][0]['message']['content']
    # 去除思考模型的部分
    content = re.sub(r'<think>.*?</think>', '', content, flags=re.DOTALL)
    print(content)
    # 为了防止不支持json格式的模型额外输出，利用正则提取json内容,原理是提取花括号
    match = re.search(r'\{.*\}', content, re.DOTALL)
    content = match.group(0) if match else content
    return content


def gpt_context(system, prompt, history):
    """"""上下文模式的GPT对话函数""""""
    gpt_url = config.get('CHATGPT', 'BASE_URL')
    model = config.get('CHATGPT', 'model')

    messages = [
        {""role"": ""system"", ""content"": system},
        {""role"": ""user"", ""content"": prompt}
    ]

    # 合并历史对话和当前对话
    messages = history + messages

    payload = json.dumps({
        ""model"": model,",json.loads,35,75,True,5,0.95,retry_logic,chatbot,"The code snippet includes a call to an LLM using `requests.post(gpt_url, headers=headers, data=payload)`, which suggests interaction with a language model. The subsequent parsing of the response with `json.loads(response.text)` and the use of regular expressions (`re.sub` and `re.search`) for cleanup indicate that there is significant brittleness in handling the structured output from the LLM. This includes retry logic, validation, and cleanup to ensure the JSON is correctly parsed and processed.","BAML would help by automating the process of retrying failed parses, validating the structure of the response, and cleaning up any unwanted text. This would reduce the need for manual intervention and make the code more robust and maintainable.",False
